Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
51.8,515390246,576,894774.7,57178.5,8792,67128875,4394955.7,cudaMemcpy_ptds
23.5,233792919,599,390305.4,8911.0,790,165239209,6752510.8,cudaMalloc
16.2,160850410,17184,9360.5,5533.0,2671,39472686,301340.1,cudaLaunchKernel_ptsz
4.5,45035617,587,76721.7,3157.0,998,3746295,288755.6,cudaFree
1.5,14741450,4,3685362.5,4314026.0,872748,5240650,1926561.6,cuLibraryLoadData
1.2,12383529,728,17010.3,6293.0,2918,4170668,156419.2,cudaLaunchKernel
0.4,4327434,233,18572.7,9682.0,3709,146536,21751.2,cudaMemcpyAsync_ptsz
0.4,4019428,1,4019428.0,4019428.0,4019428,4019428,0.0,cudaStreamCreate
0.4,3810307,224,17010.3,834.5,388,3576159,238873.0,cudaEventRecord
0.0,348935,1344,259.6,145.5,134,12477,436.9,cudaStreamGetCaptureInfo_v2
0.0,149586,810,184.7,103.0,49,37915,1335.0,cuGetProcAddress_v2
0.0,96930,36,2692.5,568.5,193,22078,5199.6,cudaEventCreateWithFlags
0.0,19488,1,19488.0,19488.0,19488,19488,0.0,cudaStreamDestroy
0.0,6766,3,2255.3,2231.0,2203,2332,67.9,cuInit
0.0,4058,4,1014.5,1005.0,652,1396,304.0,cuLibraryGetKernel
0.0,2627,1,2627.0,2627.0,2627,2627,0.0,cudaEventQuery
0.0,2110,2,1055.0,1055.0,604,1506,637.8,cudaGetDriverEntryPoint
0.0,817,3,272.3,176.0,118,523,219.0,cuModuleGetLoadingMode
