Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
37.0,153745980,6384,24083.0,10901.0,2957,462735,26171.3,"void gemv_w4a16_kernel<(int)2, __half>(const unsigned char *, const __half *, T2 *, const float *, const __half *, const __half *, int, int, int, int)"
13.4,55528215,1064,52188.2,50409.0,48623,323734,14559.6,"void gemv_w4a16_kernel<(int)4, __half>(const unsigned char *, const __half *, T2 *, const float *, const __half *, const __half *, int, int, int, int)"
11.2,46372027,392,118296.0,31887.0,5728,493684,117796.7,"llaisys::ops::nvidia::dequantize_int4_f32_kernel(float *, const unsigned char *, const float *, long, long, long, long, int)"
9.4,39067842,40,976696.1,951122.5,885039,1363142,110820.9,"void gemv_w4a16_kernel<(int)2, float>(const unsigned char *, const __half *, T2 *, const float *, const __half *, const __half *, int, int, int, int)"
9.4,39010615,224,174154.5,65837.0,2432,768670,226493.4,"void gemmSN_TN_kernel<float, (int)128, (int)16, (int)2, (int)4, (int)8, (int)9, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
7.9,32912532,112,293861.9,288920.5,245302,571591,54877.1,ampere_sgemm_64x32_sliced1x4_tn
5.9,24337043,1064,22873.2,22602.5,14257,274064,10537.3,"void paged_attention_kernel<__half>(T1 *, const T1 *, const char *, const char *, const int *, const int *, int, int, int, int, int, unsigned long, unsigned long, int, float)"
1.7,7198509,2280,3157.2,3111.0,2864,4865,133.5,"void rms_norm_kernel<__half>(T1 *, const T1 *, const T1 *, long, long, float, long, long, long, long, long)"
1.5,6424073,40,160601.8,150704.0,145499,360039,39068.2,"void argmax_kernel<float>(int *, T1 *, const T1 *, long, long)"
0.9,3828611,2240,1709.2,1693.0,1539,2679,141.2,"void rope_kernel<__half>(T1 *, const T1 *, const long *, long, long, long, float, long, long, long, long, long, long, long)"
0.4,1474749,1120,1316.7,1139.0,1077,5266,740.1,"void swiglu_kernel<__half>(T1 *, const T1 *, const T1 *, long, long, long, long, long, long, long, long)"
0.3,1215847,1064,1142.7,1109.0,1047,4065,105.5,"void reshape_and_cache_kernel<__half>(const T1 *, const T1 *, char *, char *, const int *, const long *, int, int, int, unsigned long, unsigned long, int)"
0.3,1087813,224,4856.3,4095.5,1324,13087,3508.9,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.3,1044631,392,2664.9,1047.0,923,9299,2399.6,"convert_f16_to_f32_kernel(float *, const __half *, long)"
0.2,871737,112,7783.4,7836.5,7144,8438,349.9,ampere_sgemm_32x32_sliced1x4_tn
0.1,541826,392,1382.2,1077.0,831,2402,528.7,"convert_f32_to_f16_kernel(__half *, const float *, long)"
0.0,197664,168,1176.6,1140.0,1016,1632,120.6,"add_bias_f16_to_f32_kernel(float *, const __half *, long, long)"
0.0,180815,112,1614.4,1632.0,1508,1725,77.2,"void gather_expand_kv_kernel<__half>(float *, const T1 *, long, long, long, long, long, long, long, long)"
0.0,135488,56,2419.4,2432.5,2279,2556,106.5,"void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
0.0,130695,112,1166.9,1216.0,954,1694,161.2,"void add_kernel<__half>(T1 *, const T1 *, const T1 *, unsigned long)"
0.0,91365,56,1631.5,1632.5,1509,1725,74.9,"softmax_row_kernel(float *, long, long)"
0.0,84805,56,1514.4,1509.0,1416,1786,82.0,"void scatter_all_heads_kernel<__half>(T1 *, const float *, long, long, long, long, long, long)"
0.0,84463,56,1508.3,1509.0,1416,1786,80.9,"void gather_all_q_kernel<__half>(float *, const T1 *, long, long, long, long, long, long)"
0.0,57186,40,1429.7,1401.0,1293,2186,149.0,"void embedding_kernel<__half>(T1 *, const long *, const T1 *, long, long, long, long, long, long, long)"
0.0,54199,56,967.8,970.0,893,1017,43.1,"causal_mask_batched_kernel(float *, long, long, long)"
0.0,51207,56,914.4,908.5,862,985,40.6,"scale_kernel(float *, float, long)"
