Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.2,629285818,576,1092510.1,65874.0,7948,62162736,4415444.0,cudaMemcpy_ptds
22.4,222811792,599,371972.9,8373.0,853,150455136,6152023.2,cudaMalloc
6.0,60217633,2532,23782.6,5574.0,468,35247059,701224.1,cudaLaunchKernel_ptsz
4.0,40119314,587,68346.4,2483.0,952,3987709,261163.7,cudaFree
1.3,12487844,4,3121961.0,3748993.0,728490,4261368,1613957.4,cuLibraryLoadData
1.2,12241898,728,16815.8,5881.5,2876,3829654,145601.4,cudaLaunchKernel
0.8,7748321,38,203903.2,182441.0,108937,404996,83984.4,cudaGraphLaunch
0.4,4183999,233,17957.1,7585.0,3026,107240,23222.5,cudaMemcpyAsync_ptsz
0.3,2758758,1,2758758.0,2758758.0,2758758,2758758,0.0,cudaStreamCreate
0.2,2275883,1,2275883.0,2275883.0,2275883,2275883,0.0,cudaGraphInstantiate
0.1,974436,1,974436.0,974436.0,974436,974436,0.0,cudaGraphExecDestroy
0.1,686342,224,3064.0,646.5,363,504961,33688.7,cudaEventRecord
0.0,281655,1344,209.6,143.0,130,6984,226.9,cudaStreamGetCaptureInfo_v2
0.0,104729,810,129.3,96.0,52,12375,436.3,cuGetProcAddress_v2
0.0,104527,1,104527.0,104527.0,104527,104527,0.0,cudaGraphDestroy
0.0,18733,1,18733.0,18733.0,18733,18733,0.0,cudaStreamEndCapture
0.0,18429,36,511.9,216.0,194,2694,697.8,cudaEventCreateWithFlags
0.0,17612,1,17612.0,17612.0,17612,17612,0.0,cudaStreamDestroy
0.0,8314,1,8314.0,8314.0,8314,8314,0.0,cudaStreamBeginCapture
0.0,4869,3,1623.0,1738.0,1303,1828,280.8,cuInit
0.0,4245,4,1061.3,972.5,718,1582,368.9,cuLibraryGetKernel
0.0,2831,1,2831.0,2831.0,2831,2831,0.0,cudaEventQuery
0.0,914,2,457.0,457.0,321,593,192.3,cudaGetDriverEntryPoint
0.0,732,3,244.0,103.0,96,533,250.3,cuModuleGetLoadingMode
